Tick;Amount rUpDown;Amount rDownUp;Amount rRightLeft;Amount rLeftRight;Total wait (Total);Total wait (rUpDown);Total wait (rDownUp);Total wait (rRightLeft);Total wait (rLeftRight);Total cars (Total);Total cars (rUpDown);Total cars (rDownUp);Total cars (rRightLeft);Total cars (rLeftRight);Average wait time;Average cars pr. road
0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0.000000;0.000000
1;0;1;0;0;1;0;0;2;2;1;0;1;0;0;1.000000;0.250000
2;0;1;0;0;2;0;0;3;3;1;0;1;0;0;2.000000;0.250000
3;0;1;0;0;3;0;0;4;4;1;0;1;0;0;3.000000;0.250000
4;0;1;0;0;4;0;0;5;5;1;0;1;0;0;4.000000;0.250000
5;0;0;0;0;4;0;0;6;6;2;1;1;0;0;2.000000;0.500000
6;0;0;0;0;4;0;0;7;7;2;1;1;0;0;2.000000;0.500000
7;0;0;0;0;4;0;0;8;8;2;1;1;0;0;2.000000;0.500000
8;0;0;0;0;4;0;0;9;9;2;1;1;0;0;2.000000;0.500000
9;0;0;0;0;4;0;0;10;10;2;1;1;0;0;2.000000;0.500000
10;1;0;0;0;5;0;0;11;11;3;2;1;0;0;1.666667;0.750000
11;0;0;0;0;5;0;0;12;12;3;2;1;0;0;1.666667;0.750000
12;0;0;1;0;6;0;0;13;13;4;2;1;1;0;1.500000;1.000000
13;0;0;1;0;7;0;0;14;14;4;2;1;1;0;1.750000;1.000000
14;0;0;1;0;8;0;0;15;15;4;2;1;1;0;2.000000;1.000000
15;0;0;1;0;9;0;0;16;16;4;2;1;1;0;2.250000;1.000000
16;0;0;1;0;10;0;0;17;17;5;2;2;1;0;2.000000;1.250000
17;0;0;1;0;11;0;0;18;18;5;2;2;1;0;2.200000;1.250000
18;0;0;1;0;12;0;0;19;19;5;2;2;1;0;2.400000;1.250000
19;0;0;1;0;13;0;0;20;20;5;2;2;1;0;2.600000;1.250000
20;0;0;1;0;14;0;0;21;21;5;2;2;1;0;2.800000;1.250000
21;0;0;1;0;15;0;0;22;22;5;2;2;1;0;3.000000;1.250000
22;0;0;1;0;16;0;0;23;23;5;2;2;1;0;3.200000;1.250000
23;0;0;1;1;18;0;0;24;24;6;2;2;1;1;3.000000;1.500000
24;0;0;1;1;20;0;0;25;25;6;2;2;1;1;3.333333;1.500000
25;0;0;1;1;22;0;0;26;26;6;2;2;1;1;3.666667;1.500000
26;0;0;1;1;24;0;0;27;27;6;2;2;1;1;4.000000;1.500000
27;0;0;1;1;26;0;0;28;28;7;2;3;1;1;3.714286;1.750000
28;0;0;2;1;29;0;0;29;29;8;2;3;2;1;3.625000;2.000000
29;0;0;2;1;32;0;0;30;30;8;2;3;2;1;4.000000;2.000000
30;0;0;2;1;35;0;0;31;31;8;2;3;2;1;4.375000;2.000000
31;0;0;2;1;38;0;0;32;32;8;2;3;2;1;4.750000;2.000000
32;0;0;3;1;42;0;0;33;33;9;2;3;3;1;4.666667;2.250000
33;0;0;3;1;46;0;0;34;34;9;2;3;3;1;5.111111;2.250000
34;0;1;4;1;52;0;0;35;35;11;2;4;4;1;4.727273;2.750000
35;0;0;4;1;57;0;0;36;36;11;2;4;4;1;5.181818;2.750000
36;0;0;4;1;62;0;0;37;37;11;2;4;4;1;5.636364;2.750000
37;0;0;4;1;67;0;0;38;38;11;2;4;4;1;6.090909;2.750000
38;0;1;4;1;73;0;0;39;39;12;2;5;4;1;6.083333;3.000000
39;0;1;4;1;79;0;0;40;40;12;2;5;4;1;6.583333;3.000000
40;0;1;4;1;85;0;0;41;41;12;2;5;4;1;7.083333;3.000000
41;0;0;4;1;90;0;0;42;42;12;2;5;4;1;7.500000;3.000000
42;0;0;4;1;95;0;0;43;43;12;2;5;4;1;7.916667;3.000000
43;0;0;5;1;101;0;0;44;44;13;2;5;5;1;7.769231;3.250000
44;0;0;5;1;107;0;0;45;45;13;2;5;5;1;8.230769;3.250000
45;0;0;5;1;113;1;1;46;46;13;2;5;5;1;8.692307;3.250000
46;0;0;5;1;119;2;2;47;47;13;2;5;5;1;9.153846;3.250000
47;1;0;6;1;127;3;3;48;48;15;3;5;6;1;8.466666;3.750000
48;1;0;6;1;135;4;4;49;49;15;3;5;6;1;9.000000;3.750000
49;1;0;6;1;143;5;5;50;50;15;3;5;6;1;9.533334;3.750000
50;1;0;6;1;151;6;6;51;51;15;3;5;6;1;10.066667;3.750000
51;1;0;7;1;160;7;7;51;51;16;3;5;7;1;10.000000;4.000000
52;2;0;7;1;170;8;8;51;51;17;4;5;7;1;10.000000;4.250000
53;2;0;7;1;180;9;9;51;51;17;4;5;7;1;10.588235;4.250000
54;2;0;7;2;191;10;10;51;51;18;4;5;7;2;10.611111;4.500000
55;2;0;6;1;200;11;11;51;51;18;4;5;7;2;11.111111;4.500000
56;2;1;6;1;210;12;12;51;51;19;4;6;7;2;11.052631;4.750000
57;2;1;6;1;220;13;13;51;51;19;4;6;7;2;11.578947;4.750000
58;2;1;6;1;230;14;14;51;51;19;4;6;7;2;12.105263;4.750000
59;2;1;6;1;240;15;15;51;51;19;4;6;7;2;12.631579;4.750000
60;2;1;6;1;250;16;16;51;51;19;4;6;7;2;13.157895;4.750000
61;2;1;6;1;260;17;17;51;51;19;4;6;7;2;13.684211;4.750000
62;2;1;5;0;268;18;18;51;51;19;4;6;7;2;14.105263;4.750000
63;2;1;5;0;276;19;19;51;51;19;4;6;7;2;14.526316;4.750000
64;3;1;5;0;285;20;20;51;51;20;5;6;7;2;14.250000;5.000000
